Front,Back,Tags
"State the ISO/IEC/IEEE 15288 §6.4.1 purpose of the Business or Mission Analysis (BMA) process.","To define the business or mission problem or opportunity, characterise the solution space, and determine potential solution class(es) that could address the problem. (ISO 15288 §6.4.1)","CSEP Week03 BMA-SNRD"
"Where does BMA sit among the fourteen ISO 15288 Technical Processes?","BMA is the first Technical Process. It precedes Stakeholder Needs and Requirements Definition (§6.4.2), which precedes System Requirements Definition (§6.4.3).","CSEP Week03 BMA-SNRD"
"Name three typical inputs to the BMA process.","Organisational strategy / mission statement; market or mission analysis; enterprise architecture or portfolio decisions; prior system performance data; regulatory or policy constraints. (Any three.)","CSEP Week03 BMA-SNRD"
"Name three typical outputs of the BMA process.","Validated problem/opportunity statement; preliminary stakeholder list; preliminary life cycle concepts; candidate solution classes; preliminary ConOps. (Any three.)","CSEP Week03 BMA-SNRD"
"Why does BMA precede Stakeholder Needs and Requirements Definition?","BMA defines the problem space — what problem is being solved, for whom, and with what solution classes — before stakeholder requirements are written against that problem. Without BMA, stakeholder requirements are written against an unvalidated problem.","CSEP Week03 BMA-SNRD"
"List the five typical activity clusters of the BMA process.","(1) Prepare for BMA; (2) Define the problem or opportunity space; (3) Characterise the solution space; (4) Evaluate alternative solution classes; (5) Manage the BMA results. (ISO 15288 §6.4.1)","CSEP Week03 BMA-SNRD"
"Define: Problem Statement (BMA context)","A formal articulation of the gap, need, or opportunity that the system is intended to address. (SEH5 Ch3)","CSEP Week03 BMA-SNRD"
"Define: Solution Space","The set of feasible solution classes — conceptual approaches — that could address the business/mission problem identified during BMA. (SEH5 Ch3)","CSEP Week03 BMA-SNRD"
"Define: Solution Class","A family of conceptual approaches sharing common characteristics that could address the identified problem (e.g., ""airborne surveillance"" vs ""satellite constellation"" vs ""ground-based radar""). (SEH5 Ch3)","CSEP Week03 BMA-SNRD"
"Define: Preliminary Life Cycle Concept","An early description of how the envisaged system will be acquired, developed, operated, supported, and retired — iteratively refined. (SEH5 Ch3)","CSEP Week03 BMA-SNRD"
"Define: Concept of Operations (ConOps)","An acquirer/user-oriented description of how the envisaged system will be operated in its intended environment — mission, users, operations, scenarios, constraints. (ISO 29148 §4.2; SEH5 Ch3)","CSEP Week03 BMA-SNRD"
"Define: Operational Concept (OpsCon)","A supplier/system-developer-oriented operational description derived from the ConOps, describing how the system itself behaves to support operations. (ISO 29148 §4.3)","CSEP Week03 BMA-SNRD"
"What is the difference between a ConOps and an OpsCon, and who typically writes each?","ConOps is acquirer-oriented (written by or with the acquirer, describing user-facing mission use); OpsCon is supplier-oriented (written by the system developer, describing how the system supports the ConOps). Different perspectives, different audiences.","CSEP Week03 BMA-SNRD"
"Define: Capability Gap","The difference between the current capability (what the enterprise can do today) and the required capability (what it needs to do). Supports BMA by identifying the problem to solve. (SEH5 Ch3)","CSEP Week03 BMA-SNRD"
"What role does a trade study play in BMA?","Trade studies compare alternative solution classes against weighted criteria (cost, schedule, risk, mission effectiveness, feasibility) to support the BMA decision on which class(es) to progress. (SEH5 Ch3 and Ch4)","CSEP Week03 BMA-SNRD"
"Name three common BMA pitfalls.","(1) Solution-first thinking — jumping to a favoured solution before defining the problem; (2) missing stakeholders (especially regulators, maintainers, society); (3) skipping validation of the mission need, treating it as fixed.","CSEP Week03 BMA-SNRD"
"Is BMA a one-off activity or iterative?","Iterative. Initial passes may be shallow — sufficient to authorise investment — with successive passes becoming more rigorous as the programme commits to a solution class. (SEH5 Ch3)","CSEP Week03 BMA-SNRD"
"State the ISO/IEC/IEEE 15288 §6.4.2 purpose of the Stakeholder Needs and Requirements Definition (SN&RD) process.","To define the stakeholder requirements for a system that can provide the capabilities needed by users and other stakeholders in a defined environment. (ISO 15288 §6.4.2)","CSEP Week03 BMA-SNRD"
"Define: Stakeholder","An individual or organisation having a right, share, claim, or interest in a system or in its possession of characteristics that meet their needs and expectations. (ISO 15288 §3)","CSEP Week03 BMA-SNRD"
"Name six categories of stakeholder typically considered in SN&RD.","Users, operators, maintainers, acquirers, suppliers, regulators, society/environment, enabling-system owners. (Any six.)","CSEP Week03 BMA-SNRD"
"Define: User","A stakeholder who interacts with the system during its operation to achieve a particular goal. (ISO 15288 §3)","CSEP Week03 BMA-SNRD"
"What is the difference between a stakeholder need and a stakeholder requirement?","A stakeholder need is expressed in stakeholder language — what the stakeholder wants — without specifying implementation. A stakeholder requirement is the engineering-ready statement of that need: structured, analysable, and verifiable.","CSEP Week03 BMA-SNRD"
"What is the difference between a stakeholder requirement and a system requirement?","A stakeholder requirement captures what the stakeholder needs in stakeholder-facing terms (capability-oriented). A system requirement specifies what the system must do or be in engineering-facing terms (behaviour/attribute-oriented). System requirements derive from stakeholder requirements in the next process (§6.4.3).","CSEP Week03 BMA-SNRD"
"Name three principal outputs of the SN&RD process.","(1) Validated stakeholder needs; (2) validated stakeholder requirements; (3) stakeholder requirements baseline under configuration control. (ISO 15288 §6.4.2)","CSEP Week03 BMA-SNRD"
"Why is stakeholder identification a formal SE activity, not just a ""list the obvious people"" task?","Missing a stakeholder at this stage is one of the most expensive SE errors — unidentified stakeholders surface later with requirements the system cannot accommodate, forcing costly redesign. SE must systematically cover the full life cycle. (SEH5 Ch3)","CSEP Week03 BMA-SNRD"
"What is a stakeholder analysis 2×2 grid typically based on?","Influence (low/high) and Interest (low/high). Produces four quadrants: Manage Closely (high/high), Keep Informed (high interest / low influence), Keep Satisfied (high influence / low interest), Monitor (low/low).","CSEP Week03 BMA-SNRD"
"Define: Requirements Elicitation","The process of discovering, capturing, and understanding the needs of stakeholders. (ISO 29148 §5)","CSEP Week03 BMA-SNRD"
"Name seven elicitation techniques from ISO 29148.","Interviews, workshops, observation, questionnaires, use cases, scenarios, prototyping, document analysis. (Any seven.)","CSEP Week03 BMA-SNRD"
"When is observation the most appropriate elicitation technique?","When stakeholders cannot easily articulate their needs in abstract terms — e.g., where tacit knowledge dominates, or where the system replaces or augments an existing practice. Shadowing users in their operational environment uncovers needs interviews miss.","CSEP Week03 BMA-SNRD"
"When is a workshop most appropriate vs an interview?","Workshops suit consensus-building among multiple stakeholders. Interviews suit deep, individual context from influential or senior stakeholders. Workshops are faster but risk domination by strong voices; interviews are slower but richer.","CSEP Week03 BMA-SNRD"
"What is the main weakness of questionnaires as an elicitation technique?","They sacrifice depth for scale — large population reach but shallow insight, and quality is highly sensitive to question-framing bias.","CSEP Week03 BMA-SNRD"
"What is prototyping useful for in elicitation, and what is its main risk?","Useful when stakeholders cannot describe needs abstractly — they can react to a visual/interactive draft. Main risk: premature solution anchoring — stakeholders fixate on the prototype rather than the underlying need.","CSEP Week03 BMA-SNRD"
"Define: Use Case","A description of a system behaviour initiated by an actor to achieve a specific goal, typically expressed as a sequence of interactions. (ISO 29148 §5; SEH5 Ch3)","CSEP Week03 BMA-SNRD"
"Define: Scenario","A narrative description of a specific sequence of events or interactions involving the system and its environment, used to explore behaviour under particular conditions. (SEH5 Ch3)","CSEP Week03 BMA-SNRD"
"What is the difference between a use case and a scenario?","A use case is a structured description of a goal-oriented system interaction, typically covering multiple scenarios (main success, alternative, failure). A scenario is a single, concrete sequence of events — one instance of how a use case might unfold.","CSEP Week03 BMA-SNRD"
"Define: Actor","An entity — human, organisation, or other system — that interacts with the system to achieve a goal. (ISO 29148 §5)","CSEP Week03 BMA-SNRD"
"Why must elicitation continue through the Concept and early Development stages, not end at a single kick-off?","Stakeholder understanding of their own needs evolves as the problem is explored; regulations and mission context change; new stakeholders are discovered. Treating elicitation as a one-off event produces a requirements set that is out of date by baseline.","CSEP Week03 BMA-SNRD"
"What is the SE activity when two stakeholders' inputs conflict?","Conflict resolution — a formal SN&RD activity. The systems engineer surfaces the conflict, negotiates with both parties (often with acquirer arbitration), documents the resolution with rationale, and updates the requirements set accordingly. Unresolved conflicts become costly late-stage design disputes.","CSEP Week03 BMA-SNRD"
"Define: Measure of Effectiveness (MoE)","A stakeholder/mission-oriented measure of how well the system accomplishes its intended purpose in the operational environment. (SEH5 Ch3)","CSEP Week03 BMA-SNRD"
"Define: Measure of Performance (MoP)","A system-oriented measure of a particular system attribute, often derived from an MoE, used for verification of system requirements. (SEH5 Ch3)","CSEP Week03 BMA-SNRD"
"How do MoEs and MoPs relate?","One MoE (stakeholder/mission outcome, e.g., ""average emergency-response time"") is typically supported by multiple MoPs (system attributes, e.g., ""dispatch-to-notify latency"", ""GPS update rate""). MoEs drive validation; MoPs drive verification.","CSEP Week03 BMA-SNRD"
"Name the six levels of the requirements hierarchy from top to bottom.","(1) Business/mission need; (2) stakeholder need; (3) stakeholder requirement; (4) system requirement; (5) subsystem/element requirement; (6) component/implementation requirement.","CSEP Week03 BMA-SNRD"
"Which two ISO 15288 Technical Processes produce the top two engineering levels of the requirements hierarchy?","Stakeholder Needs and Requirements Definition (§6.4.2) produces stakeholder requirements; System Requirements Definition (§6.4.3) produces system requirements.","CSEP Week03 BMA-SNRD"
"Define: Requirement","A statement that identifies a product or process operational, functional, or design characteristic or constraint, which is unambiguous, verifiable, and deemed necessary for product or process acceptability. (ISO 29148 §3.1)","CSEP Week03 BMA-SNRD"
"List the 9 ISO/IEC/IEEE 29148 §5.2 characteristics of a well-formed requirement.","Necessary, Appropriate, Unambiguous, Complete, Singular, Feasible, Verifiable, Correct, Conforming. (ISO 29148 §5.2)","CSEP Week03 BMA-SNRD"
"Define the ""verifiable"" characteristic of a requirement.","A characteristic such that compliance of the product or process with the requirement can be demonstrated by one of the four verification methods — test, analysis, inspection, or demonstration. (ISO 29148 §5.2)","CSEP Week03 BMA-SNRD"
"Name the four verification methods used to demonstrate a requirement is met.","Test, Analysis, Inspection, Demonstration. (ISO 29148 §5.2; expanded in ISO 15288 §6.4.9)","CSEP Week03 BMA-SNRD"
"Give an example of a compound requirement and show how to fix it.","Bad: ""The system shall process requests quickly and reliably."" Fix — split into two singular requirements: (1) ""The system shall process requests with a mean response time ≤ 2 s."" (2) ""The system shall achieve ≥ 99.9% request success rate over a 24 h period.""","CSEP Week03 BMA-SNRD"
"Why should a requirement specify what rather than how?","Specifying how prematurely constrains the designer, may exclude better implementations, and mixes requirements with design. Stakeholder and system requirements must describe needed behaviour/attributes; implementation choices belong to Design Definition (§6.4.5).","CSEP Week03 BMA-SNRD"
"Define: Rationale (requirement attribute)","The reason a requirement exists — the justification linking it back to a higher-level need. Captured as a requirement attribute alongside source and trace information. (ISO 29148 §5.2)","CSEP Week03 BMA-SNRD"
"Define: Traceability","The ability to follow the life of a requirement in both forward and backward directions — from origin (stakeholder need) through development to deployment and use. (ISO 29148 §6)","CSEP Week03 BMA-SNRD"
"State the ISO/IEC/IEEE 15288 §3 definition of validation.","Confirmation, through the provision of objective evidence, that the requirements for a specific intended use or application have been fulfilled. (ISO 15288 §3)","CSEP Week03 BMA-SNRD"
"How does verification differ from validation, in one sentence each?","Verification asks: ""did we build the thing right?"" — confirming the system meets its specified requirements. Validation asks: ""did we build the right thing?"" — confirming the system (and its requirements) meet stakeholder needs for the intended use. (ISO 15288 §3)","CSEP Week03 BMA-SNRD"
"Define: Stakeholder Requirements Baseline","The formally agreed and version-controlled set of stakeholder requirements that serves as the authoritative input to System Requirements Definition (§6.4.3). (SEH5 Ch3)","CSEP Week03 BMA-SNRD"
"Why does the stakeholder requirements baseline require configuration control?","To prevent silent requirement drift: once baselined, changes require formal approval (typically via Configuration Management, §6.3.5). Without this, the programme designs against one understanding while stakeholders quietly evolve their expectations, producing late, expensive mismatches.","CSEP Week03 BMA-SNRD"
